0,1,2
-------------------------------------------------------------------------,,
Image status,Description,
,,
available,"The most current version of the stock operating system image is available. When a new version of an operating system is made available, the older version image of that guest operating system changes to deprecated.
                No stock operating system that reaches EOS has an available image.",
deprecated,"Older versions of stock operating systems are deprecated. Also, any stock operating system that reached EOS is also deprecated. The UI doesn't display any deprecated images when creating an instance.
                These images are still visible in the CLI and API.",
-------------------------------------------------------------------------,,
Operating sytem,End of support,License model
,,
CentOS 8 minimal,31 December 2021,Free
CentOS 7.9 minimal,30 June 2024,Free
-------------------------------------------------------------------------,,
Operating sytem,End of support,License model
,,
Debian 11 minimal,01 June 2026,Free
Debian 10 minimal,01 June 2024,Free
Debian 9 minimal,30 June 2022,Free
-------------------------------------------------------------------------,,
Operating sytem,End of support,License model
,,
Fedora CoreOS latest,N/A,Free
-------------------------------------------------------------------------,,
Operating sytem,End of support,License model
,,
RHEL 9.2 minimal,31 May 2025,Pay-as-you-Go / BYOL
RHEL 9.0 minimal,31 May 2024,Pay-as-you-Go / BYOL
RHEL 9.0 (SAP HANA and SAP applications),31 May 2026,Pay-as-you-Go
RHEL 8.8 minimal,31 May 2025,Pay-as-you-Go / BYOL
RHEL 8.8 (SAP HANA and SAP applications),31 May 2027,Pay-as-you-Go
RHEL 8.6 minimal,31 May 2024,Pay-as-you-Go / BYOL
RHEL 8.6 (SAP HANA and SAP applications),31 May 2026,Pay-as-you-Go
RHEL 8.4 minimal,31 May 2023,Pay-as-you-Go / BYOL
RHEL 8.4 (SAP HANA and SAP applications),31 May 2025,Pay-as-you-Go
RHEL 8.3 minimal,30 April 2021,Pay-as-you-Go / BYOL
RHEL 8.2 minimal,30 April 2022,Pay-as-you-Go / BYOL
RHEL 8.2 (SAP HANA and SAP applications),28 February 2023,Pay-as-you-Go
RHEL 8.1 minimal,30 November 2021,Pay-as-you-Go / BYOL
RHEL 8.1 (SAP HANA and SAP applications),28 February 2023,Pay-as-you-Go
RHEL 7.9 minimal,30 June 2024,Pay-as-you-Go / BYOL
RHEL 7.9 (SAP HANA and SAP applications),30 June 2024,Pay-as-you-Go
RHEL 7.6 (SAP HANA and SAP applications),28 February 2023,Pay-as-you-Go
-------------------------------------------------------------------------,,
Operating sytem,End of support,License model
,,
Rocky Linux 8.x,31 May 2029,Free
Rocky Linux 9.x,31 May 2032,Free
-------------------------------------------------------------------------,,
Operating sytem,End of support,License model
,,
SLES 15 SP4,31 December 2023,Pay-as-you-Go
SLES 15 SP3,31 December 2022,Pay-as-you-Go
SLES 15 SP3 (SAP HANA and SAP applications),31 December 2025,Pay-as-you-Go
SLES 15 SP2 (SAP HANA and SAP applications),31 December 2024,Pay-as-you-Go
SLES 15 SP1 (SAP HANA and SAP applications),31 January 2024,Pay-as-you-Go
SLES 12 SP5,31 October 2024,Pay-as-you-Go
SLES 12 SP5 (SAP HANA and SAP applications),31 October 2024,Pay-as-you-Go
SLES 12 SP4 (SAP HANA and SAP applications),30 June 2023,Pay-as-you-Go
-------------------------------------------------------------------------,,
Operating sytem,End of support,License model
,,
Ubuntu 22.04 minimal,30 April 2027,Free
Ubuntu 20.04 minimal,30 April 2025,Free
Ubuntu 18.04 minimal [1],31 May 2023,Free
Ubuntu 16.04 minimal,01 April 2021,Free
-------------------------------------------------------------------------,,
Operating sytem,End of support,License model
,,
Windows Server 2022 full standard,14 October 2031,Pay-as-you-Go / BYOL
Windows Server 2019 core,09 January 2029,Pay-as-you-Go / BYOL
Windows Server 2019 full standard,09 January 2029,Pay-as-you-Go / BYOL
Windows Server 2016 core,11 January 2027,Pay-as-you-Go / BYOL
Windows Server 2016 full standard,11 January 2027,Pay-as-you-Go / BYOL
Windows Server 2012 full standard,10 October 2023,Pay-as-you-Go / BYOL
Windows Server 2012 r2 full standard,10 October 2023,Pay-as-you-Go / BYOL
Windows Server 2019 Standard Edition with SQL Server 2019 Web Edition,08 January 2030,Pay-as-you-Go
